Space / K	            ; Воспроизведение / Пауза
➡️ / ⬅️	                ; Перемотка видео на 5 секунд
⬆️ / ⬇️	                ; Изменение громкости на 5%
M	                    ; Включить/выключить звук
N	                    ; Следующее видео
P	                    ; Предыдущее видео
F	                    ; Полноэкранный режим
T	                    ; Театральный режим
I	                    ; Мини-плеер (Picture-in-Picture)
C	                    ; Включить/выключить субтитры
/	                    ; Фокус на поиск
